# Genetic map for MegaMUGA chromosome 17 (build GRCm39)
# nrow 2752
# ncol 3
marker,chr,pos
backupUNC170283680,17,0.0989541747544268
JAX00429614,17,0.0999063719280153
JAX00429615,17,0.0999067068413216
UNC27485216,17,0.0999501811647326
JAX00429656,17,0.100957703440262
JAX00429672,17,0.11719554934035
UNC27491317,17,0.204788839063959
JAX00429735,17,0.212939389119154
UNC27492105,17,0.216940865453898
JAX00073018,17,0.217257989711099
UNC27492995,17,0.217912886918962
UNC170284918,17,0.218280814948469
UNC27493771,17,0.218518487464396
UNC27495738,17,0.220479623854426
UNC27496163,17,0.240112144608363
UNC27497131,17,0.271885952830196
UNC27497695,17,0.292568250747302
UNC27498174,17,0.309958623109832
UNC27499141,17,0.340724811082685
JAX00429853,17,0.352833825649736
UNC27500437,17,0.382057558429461
backupJAX00429894,17,0.401671200824274
UNC27501276,17,0.435326747105511
UNC27501759,17,0.467655518056879
JAX00429946,17,0.599935768035399
UNC27504504,17,0.652135428102453
UNC27504612,17,0.657547675300021
UNC27506329,17,0.750751680017957
UNC27507164,17,0.788358363574848
UNC27508313,17,0.841972402774185
UNC27508550,17,0.857939556755245
UNC27510238,17,0.956399731632427
UNC27510821,17,0.983654881516369
UNC171027982,17,1.01550011520914
UNC27511647,17,1.02753538905308
UNC27512232,17,1.05361917288174
UNC27513380,17,1.10304987449332
UNC170007332,17,1.12212674522277
UNC27514092,17,1.13630610767396
UNC27514735,17,1.1739963476251
UNC27515402,17,1.21141069382164
UNC27516043,17,1.25187878974776
UNC27516526,17,1.27571285707455
UNC27517431,17,1.31928357533823
UNC27518476,17,1.37266744031943
UNC27519200,17,1.41101273087081
JAX00430230,17,1.41208241037082
UNC27519627,17,1.43128461569165
UNC27520242,17,1.46309358906238
UNC27520267,17,1.46382588991391
UNC27520342,17,1.46582730203663
UNC27520390,17,1.46786812755287
UNC27520413,17,1.46873916354957
UNC27520426,17,1.47042290372055
UNC27520448,17,1.4714279452552
UNC27520488,17,1.47286811065427
UNC27520546,17,1.47468743289895
UNC27520565,17,1.47538662649992
UNC27520624,17,1.47715076999368
UNC27520666,17,1.47845692985478
UNC27520720,17,1.48053953356815
UNC27520804,17,1.4829705516802
UNC27521799,17,1.53093586332087
JAX00430290,17,1.53378702820779
UNC27522753,17,1.58042253195125
UNC27523158,17,1.70163290583353
UNC170286629,17,1.72892904564673
UNC27523857,17,1.7537113992215
JAX00430367,17,1.76092168543125
UNC27524243,17,1.79340778090259
JAX00073189,17,1.81208499982179
UNC27524630,17,1.85053512999991
UNC170009437,17,1.85840913775647
JAX00430402,17,1.89622155922751
