# Genetic map for GigaMUGA chromosome X (build GRCm39)
# nrow 3984
# ncol 3
marker,chr,pos
JAX00708539,X,1.11363173549348
JAX00708539r,X,1.11363173549348
UNCHS048190,X,1.13227718117702
JAX00708544,X,1.13326193773953
JAX00176643,X,1.13476424433489
UNC200000454,X,1.13641146493945
JAX00176646,X,1.1883325547352
JAX00708563,X,1.26674656021263
JAX00708563r,X,1.26674656021263
JAX00708567,X,1.28228952869924
JAX00708578,X,1.33348369594885
JAX00176671,X,1.352847595178
JAX00708583,X,1.36034077865363
UNCHS048192,X,1.37705152821437
JAX00176676,X,1.39564380739454
JAX00708591,X,1.40156693227052
JAX00176680,X,1.40995735930311
JAX00176681,X,1.41004487230866
UNC30610687,X,1.49134445446925
UNC30610936,X,1.50916934810071
UNCHS048193,X,1.51739321812273
JAX00708618,X,1.51816060367144
JAX00176698,X,1.52224030943041
UNC30611222,X,1.52838221682027
JAX00708628,X,1.53805663843437
JAX00708630,X,1.54394588730819
JAX00708630r,X,1.54394588730819
UNC30611560,X,1.54540914240108
UNCHS048195,X,1.54945685415801
UNCHS048196,X,1.55134026577756
UNC30611835,X,1.56186582194568
JAX00176704,X,1.56537198816824
UNC30612242,X,1.58359257232482
UNCHS048197,X,1.61677129343088
UNC30612732,X,1.61772593799147
UNCHS048198,X,1.61950583960445
UNCHS048199,X,1.62180376175032
UNCHS048201,X,1.62265913080461
UNCHS048200,X,1.62321667334
UNCHS048202,X,1.62395629938695
JAX00176716,X,1.63611166765853
UNCHS048204,X,1.6398464968956
JAX00708647,X,1.64350886912808
UNCHS048205,X,1.64626599930309
UNCHS048206,X,1.64760739488824
UNC30613121,X,1.65255376170221
JAX00708653,X,1.6611173327458
JAX00708655,X,1.66127259775565
JAX00708656,X,1.66128483075643
JAX00708668,X,1.68818378796387
UNC30613748,X,1.69248180573669
UNC30613972,X,1.70818003923316
UNC30614256,X,1.72410128974378
JAX00708680,X,1.72839083851606
UNC30614439,X,1.73783001011523
UNC30614443,X,1.74094801381315
JAX00708681,X,1.74728376721532
UNCHS048210,X,1.75087462344325
UNC30614651,X,1.75536648722838
UNC30615033,X,1.77633526205939
JAX00708697,X,1.78473604009264
UNCHS048211,X,1.78584547916307
UNCHS048212,X,1.78748140776691
UNC30615269,X,1.78753880877055
UNCHS048213,X,1.82270021700247
UNCHS048214,X,1.82471066363008
UNC30615721,X,1.82838903286357
JAX00176747,X,1.82925240041837
JAX00708711,X,1.85904493280949
JAX00708711r,X,1.85904493280949
UNCHS048215,X,1.87405011976197
UNC30616738,X,1.88310254033658
UNC30616923,X,1.89455921606381
JAX00176764,X,1.92109212424801
UNC30617733,X,1.93582865568343
UNC30618178,X,1.95574539244767
JAX00176768,X,1.95621495147748
UNCHS048217,X,1.96001094571843
UNC30618375,X,1.96676497364715
UNC30618429,X,1.96962043832841
UNCHS048219,X,1.96962043832841
UNCHS048220,X,1.97131988443628
UNC30618581,X,1.97919229093599
UNC30618863,X,1.99950471822535
JAX00176775,X,2.00108136382543
UNC30619041,X,2.01076425444006
JAX00708748,X,2.01456448318129
JAX00708750,X,2.01462376618505
JAX00708750q,X,2.01462376618505
UNC30619220,X,2.02356279625247
JAX00708760,X,2.04099952735928
UNC30619621,X,2.04107057286379
UNC30620013,X,2.05685961286602
UNC30620339,X,2.06953582467066
JAX00176788,X,2.07500538751785
UNCHS048221,X,2.08003409183705
UNC30620787,X,2.08769195032314
UNC30621040,X,2.10096334466556
JAX00708789,X,2.10805048661543
UNC30621363,X,2.11807684225186
UNC30621909,X,2.1493773272387
UNC30622200,X,2.16480267071784
UNC30622505,X,2.18134968626818
UNC30623235,X,2.22847496925952
JAX00708820,X,2.24102649855624
UNC30623418,X,2.24165461609611
JAX00708821,X,2.24198490711708
UNC30623801,X,2.25864060817432
JAX00176819,X,2.2722328835371
UNCHS048224,X,2.29717644262043
UNC30624751,X,2.30446731108322
UNC30625209,X,2.33458919349525
JAX00176828,X,2.33955485081045
UNC30625391,X,2.34389474308593
JAX00708849,X,2.36904908618263
JAX00708851,X,2.37184009235979
UNC30626136,X,2.38113482044979
UNC30626502,X,2.40251293030679
UNC30626663,X,2.41344876250096
UNCHS048225,X,2.42643409282522
JAX00176860,X,2.5298819933917
UNC30627439,X,2.54760196551649
JAX00176890,X,2.71489201513544
JAX00708930,X,2.71572385918824
JAX00708931,X,2.72016773197032
JAX00708932,X,2.72055636499499
JAX00708946,X,2.79960601601276
UNC30629851,X,2.81503559399217
JAX00708954,X,2.82796540531291
UNCHS048229,X,2.82866221585714
UNCHS048230,X,2.82995279743906
JAX00176908,X,2.83449641622747
UNC30630586,X,2.84491375738873
UNCHS048233,X,2.86913462842617
JAX00708966,X,2.86944939294615
JAX00708967,X,2.86990436647503
JAX00708968,X,2.87177742709393
JAX00708968r,X,2.87177742709393
UNC30631685,X,2.88310659731306
UNCHS048236,X,2.90558991174022
JAX00708991,X,2.94940805002163
JAX00176930,X,2.96874371924898
JAX00709000,X,2.97680338476058
UNCHS048237,X,3.00053775876715
UNCHS047602,X,3.00221085687335
JAX00709012,X,3.05498930169423
JAX00176943,X,3.09786787476128
JAX00176944,X,3.11265087263452
JAX00709032,X,3.20722445743624
UNC30634815,X,3.21023852014036
JAX00709034,X,3.24852308060294
UNCHS048239,X,3.27063541996847
JAX00176957,X,3.27315998841587
UNCHS048240,X,3.27441681765157
UNC30635548,X,3.27499286438459
JAX00709038,X,3.28101953512937
JAX00709041,X,3.28487275413283
UNC_rs50627251,X,3.28563484185121
JAX00709051,X,3.28595934572181
JAX00709051r,X,3.28595934572181
JAX00176974,X,3.28643460721197
JAX00709061,X,3.2867642865829
JAX00709065,X,3.28699395646748
JAX00176979,X,3.2870400278304
JAX00709066,X,3.28710680119464
JAX00176982,X,3.28751926975082
JAX00176982q,X,3.28751926975082
UNCHS048241,X,3.28775973290609
JAX00709076,X,3.2903093367934
JAX00709076r,X,3.2903093367934
UNCHS048243,X,3.29587598759147
UNCHS048244,X,3.29705893089172
UNC30638980,X,3.30324249814304
UNCHS048246,X,3.30796610980343
backupUNC200004813,X,3.37126365827009
JAX00176996,X,3.37154163074202
JAX00709094,X,3.37187337336397
JAX00176999,X,3.38318046776639
JAX00709104,X,3.40503131247731
UNC30641410,X,3.45749010630993
UNCHS048247,X,3.5252540621611
UNCHS048248,X,3.53122186218474
JAX00709117,X,3.60845793747034
JAX00709118,X,3.60910724578587
JAX00177011,X,3.64004544949441
JAX00709121,X,3.64297341658017
UNCHS048249,X,3.66413308569415
UNCHS048250,X,3.68277577313557
UNC30642287,X,3.7159950674807
UNC30642514,X,3.76912405163575
JAX00709125,X,3.77604757513506
UNC30642753,X,3.82965563696112
UNCHS048251,X,3.86279711158303
UNCHS048252,X,3.87086361226699
UNC30642921,X,3.88359929634352
UNC30643162,X,3.93475117315577
UNCHS048254,X,3.95414530729943
UNCHS048256,X,4.02836586831065
JAX00709135,X,4.03551555538054
backupUNC200249354,X,4.05347862294373
UNC30643849,X,4.08835667799268
UNC30643986,X,4.11207884523962
UNC30644141,X,4.13651743583818
UNC30644302,X,4.16507278748703
UNCHS048257,X,4.17736319047718
UNC30644851,X,4.23122432576661
JAX00709157,X,4.23710862084707
UNC30645093,X,4.25408464641446
JAX00177039,X,4.25663383039989
JAX00709164,X,4.29045756690453
JAX00177043,X,4.30582645172943
UNC30645640,X,4.32139850138538
UNC30645817,X,4.35207318300869
UNCHS048260,X,4.3534792974973
UNC30645925,X,4.36528745133584
UNC30646217,X,4.39239926339563
JAX00177052,X,4.4274067023633
UNC30646629,X,4.45004781885133
UNC30646731,X,4.46694471706347
UNC30647009,X,4.49374429685658
UNC30647206,X,4.51574811734825
UNC30647370,X,4.54089457698974
UNCHS048261,X,4.55860948096902
JAX00177059,X,4.56244929627593
JAX00177060,X,4.56310477017822
UNC30647623,X,4.56789304445958
JAX00709197,X,4.57236694789709
UNCHS048264,X,4.58492788089911
UNC30647814,X,4.58807586649186
UNC30648078,X,4.61262138594886
JAX00709206,X,4.62305657324492
UNC30648264,X,4.63089125070349
UNC30648327,X,4.63699688852094
UNC30648386,X,4.64286621356121
UNCHS048265,X,4.64286621356121
UNCHS048266,X,4.64717544655671
UNC30648539,X,4.65576931891027
UNC30648622,X,4.66540574763371
UNCHS048267,X,4.67788755328048
UNC30648744,X,4.67999405179193
UNCHS048268,X,4.68015872223394
UNC30648920,X,4.73020784371966
UNC30649018,X,4.74233999199931
UNC30649084,X,4.75418450164972
UNC30649204,X,4.76666203014215
JAX00177076,X,4.76936626097233
UNC30649376,X,4.79056597644847
UNC30649432,X,4.79806168942575
UNC30649553,X,4.81509759515387
UNC30649629,X,4.82696135199881
UNC30649708,X,4.83905714446658
UNC30649860,X,4.86200835464411
UNC30649957,X,4.87521727652833
UNC30650037,X,4.89076473254684
JAX00177083,X,4.89812678445107
JAX00709239,X,4.91798133488791
UNC30650252,X,4.92675057056933
UNC30650530,X,4.98298445722775
UNC30650934,X,5.03819075755647
JAX00177096,X,5.06872322379804
UNC30651348,X,5.09216630672444
UNCHS048269,X,5.12705184679348
JAX00709268,X,5.13783989932242
backupJAX00709270,X,5.14173638692431
JAX00709270,X,5.14173638692431
JAX00709277,X,5.18227418645097
UNC30652398,X,5.20334451800838
JAX00709284,X,5.21997516336298
JAX00177107,X,5.240382535998
JAX00177107r,X,5.240382535998
UNCHS048271,X,5.27653197517391
UNCHS048273,X,5.27761409522142
UNCHS048272,X,5.27954095325067
UNCHS048274,X,5.28363312066352
UNC30653309,X,5.30457192972504
UNC30653765,X,5.36056094929761
UNC30654286,X,5.4094883870582
JAX00709312,X,5.49399105602482
UNCHS048275,X,5.51883918415124
UNCHS048276,X,5.52151347490105
UNC30655107,X,5.52181608357046
UNC30655403,X,5.56749823047712
JAX00177134,X,5.62748852793286
JAX00177134r,X,5.62748852793286
UNC30655795,X,5.63233133593202
UNCHS048277,X,5.6464256287642
UNC30656262,X,5.69714947134674
UNCHS048279,X,5.70874376746838
UNCHS048280,X,5.71185646653784
UNC30656656,X,5.73747020529075
JAX00709340,X,5.75035406344529
JAX00709340r,X,5.75035406344529
UNCHS048281,X,5.76996909323921
UNC30657174,X,5.79540319150993
JAX00238592,X,5.81051972422889
UNCHS048283,X,5.84907399343132
UNC30658252,X,5.90514320964772
UNCHS048285,X,5.90970051759483
UNCHS048286,X,5.91701872866709
UNCHS048287,X,5.93853602285282
UNC30658767,X,5.95533454651518
UNC30659322,X,6.01159195752246
JAX00177165,X,6.05472171257793
JAX00709378,X,6.06563594115984
JAX00709382,X,6.07416886406408
UNC30660255,X,6.10005527140604
JAX00709387,X,6.14879130651
JAX00709388,X,6.1513768463073
UNC30660941,X,6.17462531871132
UNC200319662,X,6.20480705829719
JAX00709396,X,6.21329507108088
UNCHS048289,X,6.23234872436794
UNCHS048290,X,6.23805551754337
JAX00709408,X,6.30634349441476
JAX00709411,X,6.31006675726596
UNC30662406,X,6.33752715740429
JAX00709415,X,6.34179254956783
UNC30663028,X,6.39276018994763
UNCHS048291,X,6.39682455585728
UNCHS048292,X,6.40717206148941
UNC30663933,X,6.49654854782415
JAX00709434,X,6.55253435953096
JAX00709435,X,6.5568617704324
UNC30664376,X,6.5717687225888
JAX00238605,X,6.58440129792598
UNC30664552,X,6.60817799889074
UNC30664792,X,6.66329982542129
UNCHS048293,X,6.67494544739499
UNC30664973,X,6.71911882810893
JAX00177214,X,6.74715129763996
UNC30665419,X,6.77063608282115
JAX00709457,X,6.78432511527981
UNC30666191,X,6.87907584604021
UNC30666893,X,6.93567756797169
JAX00177228,X,6.96131376178488
JAX00709481,X,6.97819462066825
JAX00709485,X,7.00203868681383
JAX00238612,X,7.00450125842391
UNCHS048297,X,7.05098323319177
UNCHS048298,X,7.05418361392515
UNCHS048300,X,7.07725565371273
UNCHS048302,X,7.09621948675869
UNCHS048303,X,7.12106440701935
UNCHS048304,X,7.12465507808608
UNC30668589,X,7.14637446781427
JAX00709502,X,7.15723950912129
JAX00709508,X,7.1918930135675
JAX00709510,X,7.2258504111452
UNC30669207,X,7.25134866673099
JAX00709515,X,7.26206935407911
UNCHS048305,X,7.28902932715989
UNCHS048306,X,7.29241362552981
JAX00177255,X,7.3398515442922
JAX00709530,X,7.37691950236219
UNCHS048307,X,7.39881211684107
UNCHS048308,X,7.40333520755347
JAX00709538,X,7.43161254417036
UNCHS048309,X,7.45057316935056
UNCHS048310,X,7.45308278965837
UNCHS048311,X,7.48100726104237
JAX00177266,X,7.50443965108292
JAX00177267,X,7.5053923872117
JAX00177269r,X,7.54814040624251
UNC30671235,X,7.57225393311138
UNCHS048313,X,7.58734159503856
JAX00177275,X,7.63676304412518
JAX00177277,X,7.63723673896811
UNCHS048315,X,7.67424588616595
JAX00709555,X,7.71039425605328
JAX00709559,X,7.73668164661442
UNC30672748,X,7.7910774261961
JAX00177288,X,7.80376132738534
JAX00709569,X,7.88001229634544
JAX00709571,X,7.88152961684684
UNCHS048317,X,7.91294638474779
UNC30673331,X,7.91487324277704
UNCHS048318,X,7.91683538732958
UNCHS048319,X,7.94415571066335
JAX00177307,X,8.06795901226438
UNC30674102,X,8.07981849195498
JAX00709584,X,8.11085031596551
JAX00709584r,X,8.11085031596551
UNC30674758,X,8.18961945954209
UNCHS048322,X,8.25038712979875
UNCHS048323,X,8.27549509505121
UNCHS048324,X,8.27880668179738
UNC30675851,X,8.33600720533617
UNCHS048326,X,8.34147661644585
JAX00709612,X,8.42616961878051
UNC30676681,X,8.43602311308661
JAX00177335,X,8.49348240446285
UNC30677423,X,8.54703665392853
JAX00709622,X,8.56395707648953
JAX00709622r,X,8.56395707648953
UNCHS048327,X,8.6116035065259
JAX00177344,X,8.62901152468142
UNC30679070,X,8.73670385517992
JAX00177356,X,8.78678826318892
JAX00709643,X,8.80552647634356
JAX00709653,X,8.93311505953369
JAX00709657,X,8.97295140574893
JAX00709659,X,8.98536156906054
JAX00709661,X,9.02493273170682
JAX00709667,X,9.03200393711607
JAX00709670,X,9.08649595267035
UNC30682052,X,9.08673761189044
JAX00177376,X,9.0873888086384
UNCHS048329,X,9.12523948595224
UNCHS048330,X,9.12788704448744
UNC200210623,X,9.24192881060065
JAX00709691,X,9.32669559384764
JAX00177397,X,9.39109349884865
JAX00709697,X,9.39158751017469
UNC30684468,X,9.40913025869186
UNCHS048332,X,9.44052884868687
UNC30685136,X,9.51814209130362
UNC30685912,X,9.62536072695919
JAX00177415,X,9.64869688102713
JAX00177417,X,9.70740082431573
JAX00177427,X,9.81591650702428
UNC30687129,X,9.84933819102116
JAX00177429,X,9.8649797444351
JAX00177440,X,9.98395734665432
UNC30688115,X,10.0434579099384
JAX00177444,X,10.0894330419172
UNCHS048333,X,10.1024302446617
UNCHS048334,X,10.1061085973923
UNCHS048335,X,10.1471735561911
UNC30688469,X,10.1510871524104
UNCHS047606,X,10.1524034466579
JAX00177448,X,10.155087361005
UNCHS048338,X,10.1599804255676
UNC30689278,X,10.2775283889493
JAX00177459,X,10.2928534329423
JAX00709760,X,10.321887825877
JAX00238656,X,10.3369744185156
UNC30689836,X,10.375351185813
JAX00709763,X,10.3857820959547
JAX00709763r,X,10.3857820959547
JAX00177467,X,10.4181729857561
JAX00177468,X,10.4186135326529
JAX00709767,X,10.4276458133261
UNCHS048339,X,10.4350709532568
UNCHS048340,X,10.4377046110405
JAX00177469,X,10.458612410733
UNCHS048341,X,10.471603197746
UNCHS048342,X,10.4752943819397
UNC30690563,X,10.4902312741764
UNCHS048343,X,10.5456236307189
UNC30691033,X,10.5477162284787
UNCHS048344,X,10.5480124214166
UNCHS048346,X,10.5888956011561
JAX00177480,X,10.5901402530684
JAX00177481,X,10.6267708721074
JAX00709794,X,10.690791318238
UNCHS048347,X,10.7719770540156
UNCHS048348,X,10.7751175545882
UNC30692669,X,10.7849635638742
JAX00177498,X,10.8596426786151
UNC30693126,X,10.8748009135889
JAX00177499,X,10.8812476544648
UNC30693454,X,10.9213577385576
UNC30693718,X,10.9543153513088
UNCHS048349,X,10.9904027717469
UNCHS048350,X,10.9946756489305
UNC30694158,X,11.0025274350064
JAX00709823,X,11.0206443914935
UNC30694401,X,11.0467157857605
JAX00177511,X,11.0503278425989
UNCHS048351,X,11.0772054804587
JAX00238672,X,11.0835784404223
UNCHS048352,X,11.0835784404223
UNC30694645,X,11.0881207783292
JAX00177517,X,11.1500293795055
UNC30695131,X,11.1580672217952
UNC30695507,X,11.2181847645925
UNC30695738,X,11.2614321413922
JAX00177527,X,11.2752847750043
JAX00177527r,X,11.2752847750043
UNC30695994,X,11.3001222102449
UNC30696306,X,11.3428712985643
JAX00177533,X,11.3595276068449
JAX00177534,X,11.3596377435691
JAX00177534r,X,11.3596377435691
UNC30696808,X,11.4135042253015
UNCHS048353,X,11.4135042253015
UNCHS048354,X,11.4209977997016
UNC30697358,X,11.5206811587022
JAX00709858,X,11.5208372748356
UNC30697627,X,11.5573064312982
JAX00709868,X,11.5666156577148
JAX00177548,X,11.5722508085551
JAX00238681,X,11.5884922328649
UNCHS048355,X,11.6340321643899
UNCHS048357,X,11.6353890916036
UNCHS048356,X,11.6376239047452
UNC30698758,X,11.7707289477427
UNC30698948,X,11.8131091315004
UNC30699425,X,11.9078074671202
JAX00709887,X,11.9379603359143
UNC30699686,X,11.9445075899171
UNC30699898,X,11.977759257029
UNCHS048359,X,12.0016493025838
UNCHS048360,X,12.0077250003208
UNC30700441,X,12.0704868937876
UNC30700765,X,12.10413098981
JAX00709903,X,12.1113144705206
UNCHS048363,X,12.1162192972577
JAX00709912,X,12.1820767811766
UNC30701595,X,12.2447103600132
JAX00177593,X,12.2631940824847
JAX00177594,X,12.2994632819821
JAX00709927,X,12.4157783556259
JAX00709939,X,12.6104701439358
UNC30704330,X,12.6116581235532
backupJAX00709954,X,12.7825742801869
JAX00177626,X,12.832076995206
JAX00177628,X,12.8450613664874
JAX00177633,X,12.9387909266496
JAX00177636,X,12.9641266503706
UNCHS048366,X,13.0314201888584
backupUNC200355425,X,13.0347510227991
JAX00709975,X,13.0728059342326
JAX00709976,X,13.0740537940107
