# Physical map for MegaMUGA chromosome 6 (build GRCm39)
# nrow 3807
# ncol 3
marker,chr,pos
JAX00137332,6,3.371606
backupUNC060001120,6,3.403047
CEAJAX00601853,6,3.479036
JAX00601853,6,3.479036
JAX00601910,6,4.018666
UNC10471744,6,4.027496
JAX00601915,6,4.034107
JAX00601929,6,4.124793
UNC10474142,6,4.204841
UNC10474750,6,4.254704
JAX00137398,6,4.27266
UNC10475366,6,4.327681
UNC10475615,6,4.352437
UNC10476147,6,4.400291
JAX00601997,6,4.424668
UNC10476849,6,4.476442
UNC10477147,6,4.510537
UNC10477860,6,4.580108
UNC10478583,6,4.649823
UNC10478777,6,4.666797
UNC10479551,6,4.74881
UNC10479723,6,4.77571
JAX00228455,6,4.791702
UNC10480326,6,4.827043
backupUNC060002805,6,4.847506
UNC10481130,6,4.88438
backupUNC060002948,6,4.88894
UNC10481814,6,4.938043
UNC10482638,6,4.997746
UNC10482904,6,5.019794
UNC10483643,6,5.07847
UNC10484262,6,5.138561
UNC10484860,6,5.185053
UNC10485564,6,5.244331
UNC10486218,6,5.301296
UNC10486443,6,5.333645
UNC10487207,6,5.396513
UNC10487732,6,5.431436
UNC10488616,6,5.50175
UNC10489280,6,5.551962
UNC10490204,6,5.604263
UNC10490501,6,5.62898
backupUNC061649280,6,5.6871
UNC10491637,6,5.704731
UNC10492366,6,5.753635
JAX00137514,6,5.794562
UNC10494097,6,5.874896
UNC10494469,6,5.891843
JAX00137523,6,5.894145
UNC10495511,6,5.963417
JAX00602217,6,5.985785
UNC10495878,6,5.9951
JAX00602234,6,6.027881
JAX00602237,6,6.037697
UNC10496817,6,6.060085
JAX00602248,6,6.079175
UNC10497593,6,6.113047
UNC10498454,6,6.166017
UNC10499357,6,6.215196
JAX00602266,6,6.227832
UNC10499807,6,6.244001
JAX00602274,6,6.33708
JAX00602275,6,6.343262
JAX00137554,6,6.347296
UNC10503413,6,6.486654
UNC10504063,6,6.547422
UNC10504243,6,6.55402
JAX00137571,6,6.560671
UNC10505608,6,6.637934
UNC10506151,6,6.678541
UNC10506939,6,6.747057
UNC10507154,6,6.762154
UNC10508224,6,6.843478
UNC10508896,6,6.903292
UNC10509411,6,6.930469
JAX00137601,6,6.943077
UNC10510046,6,6.960967
UNC10510594,6,7.033949
JAX00137606,6,7.041096
UNC10510979,6,7.067583
UNC10511903,6,7.137196
UNC10512494,6,7.191529
UNC10513499,6,7.242483
UNC10514174,6,7.293782
UNC10514936,6,7.344581
UNC10516047,6,7.416368
JAX00602469,6,7.436686
UNC10516507,6,7.444787
UNC10517210,6,7.514751
UNC10517696,6,7.55071
UNC10518129,6,7.593133
UNC060719988,6,7.602282
UNC10518661,6,7.629734
UNC10520103,6,7.71199
UNC10520418,6,7.739597
JAX00602531,6,7.756462
UNC10521386,6,7.805745
UNC10522241,6,7.855263
UNC10522988,6,7.911014
JAX00602584,6,7.96967
UNC10524510,6,8.00672
UNC060353211,6,8.063907
UNC10526698,6,8.104413
UNC10527151,6,8.142603
UNC10528455,6,8.215432
UNC060013101,6,8.250331
UNC10529212,6,8.256632
UNC10530102,6,8.317744
UNC10530820,6,8.370163
UNC10531284,6,8.406455
UNC10532002,6,8.454438
UNC10532642,6,8.494009
UNC10532719,6,8.500632
UNC10532819,6,8.508182
JAX00602739,6,8.512827
UNC10532871,6,8.514064
JAX00602741,6,8.517227
UNC10532944,6,8.523374
UNC10533040,6,8.534712
UNC10533055,6,8.537051
JAX00602748,6,8.54719
UNC10533135,6,8.547615
JAX00137720,6,8.548633
UNC10533185,6,8.553431
UNC10533228,6,8.557989
UNC10533480,6,8.580901
UNC10533495,6,8.581904
UNC10533580,6,8.590539
UNC10533605,6,8.595369
UNC10533683,6,8.600494
UNC10533900,6,8.623257
JAX00137725,6,8.627169
UNC10534023,6,8.629477
UNC10534055,6,8.632376
UNC10534127,6,8.639245
UNC10534278,6,8.647275
UNC10534400,6,8.654046
UNC10534514,6,8.658978
UNC10534606,6,8.666272
JAX00228531,6,8.674176
UNC10534749,6,8.674272
UNC10534804,6,8.679365
UNC10534865,6,8.684031
UNC10535060,6,8.69589
UNC10535097,6,8.705815
UNC10535210,6,8.712112
UNC10535272,6,8.715528
JAX00602782,6,8.717465
UNC10535413,6,8.723856
UNC10536557,6,8.793258
JAX00602802,6,8.814421
UNC10537760,6,8.881368
JAX00602833,6,9.005711
JAX00602835,6,9.018203
UNC10540565,6,9.107643
backupUNC060017683,6,9.147852
JAX00137766,6,9.15802
JAX00137772,6,9.231805
UNC10543273,6,9.354991
UNC10544249,6,9.416693
UNC10545187,6,9.532883
UNC10546969,6,9.740809
UNC10549570,6,10.04153
UNC10550437,6,10.155232
UNC10552000,6,10.278539
UNC10552281,6,10.327968
JAX00137865,6,10.508981
UNC10554592,6,10.57522
UNC10555597,6,10.679409
UNC10556590,6,10.780277
UNC10558215,6,10.87512
UNC10559741,6,11.001857
