# Genetic map for MegaMUGA chromosome X (build GRCm39)
# nrow 2076
# ncol 3
marker,chr,pos
JAX00708539,X,1.11363173549348
JAX00176643,X,1.13476424433489
UNC200000454,X,1.13641146493945
JAX00176646,X,1.1883325547352
JAX00708557,X,1.21621579800512
JAX00708563,X,1.26674656021263
JAX00176671,X,1.352847595178
JAX00708583,X,1.36034077865363
JAX00708591,X,1.40156693227052
JAX00176680,X,1.40995735930311
JAX00176681,X,1.41004487230866
UNC200282646,X,1.41265567697439
UNC30610687,X,1.49134445446925
UNC30610936,X,1.50916934810071
JAX00708618,X,1.51816060367144
UNC30611222,X,1.52838221682027
UNC200880603,X,1.54006849656207
JAX00708630,X,1.54394588730819
UNC30611560,X,1.54540914240108
UNC30611835,X,1.56186582194568
UNC30612242,X,1.58359257232482
UNC30612732,X,1.61772593799147
UNC200285015,X,1.6187629200573
JAX00708647,X,1.64350886912808
UNC30613121,X,1.65255376170221
JAX00708653,X,1.6611173327458
JAX00708655,X,1.66127259775565
JAX00708656,X,1.66128483075643
UNC30613443,X,1.67478159461315
UNC30613748,X,1.69248180573669
UNC30613972,X,1.70818003923316
UNC30614256,X,1.72410128974378
JAX00708680,X,1.72839083851606
UNC30614439,X,1.73783001011523
UNC30614443,X,1.74094801381315
JAX00708681,X,1.74728376721532
UNC30614651,X,1.75536648722838
UNC30615033,X,1.77633526205939
UNC30615269,X,1.78753880877055
backupUNC200287049,X,1.81827563472161
UNC30615721,X,1.82838903286357
UNC30616085,X,1.84899364067147
JAX00708711,X,1.85904493280949
JAX00708714,X,1.85933005582759
UNC30616738,X,1.88310254033658
UNC30616923,X,1.89455921606381
UNC30617733,X,1.93582865568343
UNC30618178,X,1.95574539244767
UNC30618375,X,1.96676497364715
UNC30618429,X,1.96962043832841
UNC30618581,X,1.97919229093599
UNC30618863,X,1.99950471822535
JAX00176775,X,2.00108136382543
UNC30619041,X,2.01076425444006
JAX00708748,X,2.01456448318129
UNC30619220,X,2.02356279625247
UNC30619621,X,2.04107057286379
UNC30620013,X,2.05685961286602
UNC30620339,X,2.06953582467066
JAX00176788,X,2.07500538751785
UNC30620787,X,2.08769195032314
UNC30621040,X,2.10096334466556
UNC30621363,X,2.11807684225186
UNC30621603,X,2.13389740575609
UNC30621909,X,2.1493773272387
UNC30622200,X,2.16480267071784
UNC30622505,X,2.18134968626818
UNC30622947,X,2.2094597105525
UNC30623235,X,2.22847496925952
JAX00708820,X,2.24102649855624
UNC30623418,X,2.24165461609611
UNC200292334,X,2.24599121487138
UNC30623801,X,2.25864060817432
JAX00176819,X,2.2722328835371
UNC30624751,X,2.30446731108322
UNC30624981,X,2.3201090845761
UNC30625209,X,2.33458919349525
UNC30625391,X,2.34389474308593
JAX00708849,X,2.36904908618263
JAX00708851,X,2.37184009235979
UNC30626136,X,2.38113482044979
UNC30626502,X,2.40251293030679
UNC30626663,X,2.41344876250096
UNC30627311,X,2.50649955340747
UNC30627439,X,2.54760196551649
UNC30627962,X,2.63867383329739
JAX00708925,X,2.70228684883531
JAX00176890,X,2.71489201513544
JAX00708930,X,2.71572385918824
JAX00708931,X,2.72016773197032
JAX00708932,X,2.72055636499499
UNC30629137,X,2.737224299053
UNC30629488,X,2.76895482106714
JAX00708946,X,2.79960601601276
JAX00176908,X,2.83449641622747
UNC30630586,X,2.84491375738873
JAX00708967,X,2.86990436647503
JAX00708968,X,2.87177742709393
UNC30631685,X,2.88310659731306
backupJAX00708995,X,2.9553452898985
JAX00709012,X,3.05498930169423
JAX00176944,X,3.11265087263452
UNC30634815,X,3.21023852014036
JAX00176957,X,3.27315998841587
UNC30635548,X,3.27499286438459
JAX00709038,X,3.28101953512937
JAX00709041,X,3.28487275413283
UNC_rs50627251,X,3.28563484185121
JAX00709051,X,3.28595934572181
JAX00176974,X,3.28643460721197
JAX00709065,X,3.28699395646748
UNC200004516,X,3.2872873320561
JAX00709076,X,3.2903093367934
UNC30638980,X,3.30324249814304
backupUNC200004813,X,3.37126365827009
JAX00709094,X,3.37187337336397
JAX00176999,X,3.38318046776639
JAX00709104,X,3.40503131247731
UNC30641410,X,3.45749010630993
JAX00709117,X,3.60845793747034
JAX00709118,X,3.60910724578587
UNC30642287,X,3.7159950674807
UNC30642514,X,3.76912405163575
UNC30642753,X,3.82965563696112
UNC30642921,X,3.88359929634352
UNC30643162,X,3.93475117315577
backupUNC200249354,X,4.05347862294373
UNC30643849,X,4.08835667799268
UNC30643986,X,4.11207884523962
UNC30644141,X,4.13651743583818
UNC30644302,X,4.16507278748703
UNC30644441,X,4.18406656061336
UNC30644689,X,4.20904941910142
UNC30644851,X,4.23122432576661
JAX00709157,X,4.23710862084707
UNC30645093,X,4.25408464641446
JAX00177039,X,4.25663383039989
JAX00709164,X,4.29045756690453
JAX00177043,X,4.30582645172943
UNC30645640,X,4.32139850138538
UNC30645817,X,4.35207318300869
UNC30645925,X,4.36528745133584
UNC30646217,X,4.39239926339563
JAX00177052,X,4.4274067023633
UNC30646629,X,4.45004781885133
UNC30646731,X,4.46694471706347
UNC30647009,X,4.49374429685658
UNC30647206,X,4.51574811734825
UNC30647370,X,4.54089457698974
JAX00709191,X,4.55951730697725
JAX00177059,X,4.56244929627593
JAX00177060,X,4.56310477017822
UNC30647623,X,4.56789304445958
JAX00709197,X,4.57236694789709
UNC30647814,X,4.58807586649186
UNC30648078,X,4.61262138594886
JAX00709206,X,4.62305657324492
backupUNC200310334,X,4.62341157705497
UNC30648264,X,4.63089125070349
UNC30648327,X,4.63699688852094
UNC30648386,X,4.64286621356121
UNC30648539,X,4.65576931891027
UNC30648622,X,4.66540574763371
UNC30648744,X,4.67999405179193
UNC30648821,X,4.71906799524643
UNC30649018,X,4.74233999199931
UNC30649084,X,4.75418450164972
UNC30649204,X,4.76666203014215
JAX00177076,X,4.76936626097233
UNC30649305,X,4.77842955101448
UNC30649376,X,4.79056597644847
UNC30649432,X,4.79806168942575
UNC30649553,X,4.81509759515387
UNC30649629,X,4.82696135199881
UNC30649708,X,4.83905714446658
UNC30649793,X,4.85156354375079
UNC30649860,X,4.86200835464411
UNC30649957,X,4.87521727652833
UNC30650037,X,4.89076473254684
JAX00709239,X,4.91798133488791
UNC30650530,X,4.98298445722775
UNC30650934,X,5.03819075755647
UNC30651348,X,5.09216630672444
JAX00709268,X,5.13783989932242
backupJAX00709270,X,5.14173638692431
JAX00709277,X,5.18227418645097
UNC30652398,X,5.20334451800838
JAX00177107,X,5.240382535998
UNC30652732,X,5.24915177167942
UNC30653309,X,5.30457192972504
UNC30653765,X,5.36056094929761
UNC30654286,X,5.4094883870582
UNC30655107,X,5.52181608357046
JAX00177128,X,5.54112957398355
UNC30655403,X,5.56749823047712
JAX00177134,X,5.62748852793286
UNC30655795,X,5.63233133593202
UNC30656656,X,5.73747020529075
JAX00709340,X,5.75035406344529
backupUNC200316908,X,5.77994020928959
UNC30657174,X,5.79540319150993
UNC30657714,X,5.85120936273455
UNC30658252,X,5.90514320964772
UNC30658767,X,5.95533454651518
UNC30659322,X,6.01159195752246
UNC30659801,X,6.05091611450572
JAX00177165,X,6.05472171257793
JAX00709378,X,6.06563594115984
UNC30660255,X,6.10005527140604
JAX00177172,X,6.14902227284425
UNC30660941,X,6.17462531871132
UNC200319662,X,6.20480705829719
JAX00709408,X,6.30634349441476
JAX00709411,X,6.31006675726596
UNC30662406,X,6.33752715740429
JAX00709415,X,6.34179254956783
UNC30663028,X,6.39276018994763
UNC30663505,X,6.44579690373842
UNC30663933,X,6.49654854782415
UNC30664376,X,6.5717687225888
JAX00238605,X,6.58440129792598
UNC30664552,X,6.60817799889074
UNC30664792,X,6.66329982542129
UNC30664973,X,6.71911882810893
JAX00177214,X,6.74715129763996
UNC30665419,X,6.77063608282115
JAX00709457,X,6.78432511527981
JAX00709465,X,6.85298199671286
UNC30666191,X,6.87907584604021
UNC200089428,X,6.9349461745799
UNC30666893,X,6.93567756797169
JAX00709481,X,6.97819462066825
UNC30667425,X,6.98854319558896
JAX00709485,X,7.00203868681383
UNC30667923,X,7.05418361392515
UNC30668589,X,7.14637446781427
UNC30669207,X,7.25134866673099
JAX00177255,X,7.3398515442922
JAX00709530,X,7.37691950236219
JAX00177266,X,7.50443965108292
JAX00177269,X,7.54814040624251
UNC30671235,X,7.57225393311138
JAX00177275,X,7.63676304412518
JAX00177277,X,7.63723673896811
JAX00709553,X,7.66603374983706
JAX00709555,X,7.71039425605328
JAX00709559,X,7.73668164661442
UNC30672748,X,7.7910774261961
UNC30673331,X,7.91487324277704
JAX00177303,X,8.0367507556374
UNC30674102,X,8.07981849195498
JAX00709584,X,8.11085031596551
UNC30674758,X,8.18961945954209
JAX00709598,X,8.33466524816264
UNC30675851,X,8.33600720533617
UNC30676681,X,8.43602311308661
UNC30677423,X,8.54703665392853
JAX00709622,X,8.56395707648953
JAX00177344,X,8.62901152468142
UNC30679070,X,8.73670385517992
JAX00177356,X,8.78678826318892
JAX00177357,X,8.80008700531425
UNC200334548,X,8.88643098922337
JAX00709653,X,8.93311505953369
JAX00709657,X,8.97295140574893
JAX00709659,X,8.98536156906054
JAX00709661,X,9.02493273170682
JAX00709670,X,9.08649595267035
