# Genetic map for GigaMUGA chromosome 13 (build GRCm39)
# nrow 5278
# ncol 3
marker,chr,pos
UNCHS034896,13,0.116803583941759
JAX00348763,13,0.134132777455391
CEAJAX00041178,13,0.3250115600019
JAX00348792,13,0.329606575344691
UNCHS034898,13,0.33937998395761
JAX00348795,13,0.340683442643855
UNCHS034900,13,0.344039131492992
JAX00041181,13,0.345539487261751
UNCHS034902,13,0.348085647820208
UNCHS034903,13,0.36497998006303
JAX00041188,13,0.399030798949966
JAX00041188r,13,0.399030798949966
JAX00348808,13,0.407782030423089
UNC22027003,13,0.422310222297182
UNCHS034906,13,0.480071387860493
JAX00348836,13,0.527808804234547
UNC22029209,13,0.553868414386865
UNC22030396,13,0.607145389536686
UNCHS034911,13,0.690116132418947
UNCHS034912,13,0.69147753510376
UNC22032065,13,0.703501196088271
JAX00041230,13,0.721769869967044
JAX00348883,13,0.724355972505096
UNC22034495,13,0.816755272824329
JAX00041244,13,0.831097256314673
JAX00348925,13,0.899362599948578
UNCHS034915,13,0.904715950340596
UNCHS034916,13,0.905942900446207
ICR515,13,0.913414863446079
ICR4515,13,0.914627749474367
UNCHS034918,13,0.923992174718749
JAX00041256,13,0.925068357915463
UNC22037424,13,0.963549923722064
ICR4516,13,0.971552946281632
JAX00348951,13,0.980768292306396
JAX00041266,13,0.985978751672818
ICR517,13,1.00599305882885
UNC22038441,13,1.01405008744534
ICR518,13,1.0521305457667
UNC22039308,13,1.05960813439751
JAX00348983,13,1.08922903895815
JAX00348988,13,1.10266127866205
UNC22041230,13,1.10274242276256
UNC22042094,13,1.10353153001297
ICR521,13,1.10353897834832
ICR4521,13,1.10360558581852
CEAJAX00041295,13,1.10629093523321
ICR523,13,1.12920428780349
JAX00349027,13,1.13170453339774
JAX00041308,13,1.13174514994682
UNC22044642,13,1.1395180015544
ICR4523,13,1.14231460347117
JAX00349042,13,1.14490045948642
UNCHS034919,13,1.14492457094058
UNC22045693,13,1.14496096877269
UNCHS034920,13,1.14496508673453
JAX00349043,13,1.14509673774953
UNCHS034922,13,1.14526327892755
UNCHS034923,13,1.14592355922969
UNCHS034924,13,1.14596439005897
UNC22047665,13,1.14705222956297
UNCJPD005209,13,1.15756623253909
UNC22048757,13,1.19313946313767
JAX00349078,13,1.19745442201403
UNCHS034929,13,1.23068590039483
UNCHS034930,13,1.2329921715184
UNC22049635,13,1.23633254485544
UNC22051049,13,1.30184323483054
UNCHS034931,13,1.31685173768085
UNCHS034932,13,1.31993401467131
UNCHS034933,13,1.32314276459435
UNCHS034934,13,1.32699131876458
UNCHS034935,13,1.34586382722937
UNCHS034936,13,1.34749309618441
UNC22052019,13,1.35285760871849
