# Physical map for MegaMUGA chromosome X (build GRCm39)
# nrow 2076
# ncol 3
marker,chr,pos
JAX00708539,X,5.366886
JAX00176643,X,5.411801
UNC200000454,X,5.415302
JAX00176646,X,5.525655
JAX00708557,X,5.584918
JAX00708563,X,5.692316
JAX00176671,X,5.875315
JAX00708583,X,5.891241
JAX00708591,X,5.978863
JAX00176680,X,5.996696
JAX00176681,X,5.996882
UNC200282646,X,6.002431
UNC30610687,X,6.169676
UNC30610936,X,6.207561
JAX00708618,X,6.226671
UNC30611222,X,6.248396
UNC200880603,X,6.273234
JAX00708630,X,6.281475
UNC30611560,X,6.284585
UNC30611835,X,6.319562
UNC30612242,X,6.36574
UNC30612732,X,6.438287
UNC200285015,X,6.440491
JAX00708647,X,6.493086
UNC30613121,X,6.51231
JAX00708653,X,6.530511
JAX00708655,X,6.530841
JAX00708656,X,6.530867
UNC30613443,X,6.559553
UNC30613748,X,6.597173
UNC30613972,X,6.630538
UNC30614256,X,6.664377
JAX00708680,X,6.673494
UNC30614439,X,6.693556
UNC30614443,X,6.700183
JAX00708681,X,6.713649
UNC30614651,X,6.730828
UNC30615033,X,6.775395
UNC30615269,X,6.799207
backupUNC200287049,X,6.864535
UNC30615721,X,6.88603
UNC30616085,X,6.929823
JAX00708711,X,6.951186
JAX00708714,X,6.951792
UNC30616738,X,7.002318
UNC30616923,X,7.026668
UNC30617733,X,7.114382
UNC30618178,X,7.156713
UNC30618375,X,7.180134
UNC30618429,X,7.186203
UNC30618581,X,7.206547
UNC30618863,X,7.249719
JAX00176775,X,7.25307
UNC30619041,X,7.27365
JAX00708748,X,7.281727
UNC30619220,X,7.300852
UNC30619621,X,7.338063
UNC30620013,X,7.371621
UNC30620339,X,7.398563
JAX00176788,X,7.410188
UNC30620787,X,7.437152
UNC30621040,X,7.465359
UNC30621363,X,7.501732
UNC30621603,X,7.535357
UNC30621909,X,7.568258
UNC30622200,X,7.601043
UNC30622505,X,7.636212
UNC30622947,X,7.695957
UNC30623235,X,7.736372
JAX00708820,X,7.763049
UNC30623418,X,7.764384
UNC200292334,X,7.773601
UNC30623801,X,7.800486
JAX00176819,X,7.829375
UNC30624751,X,7.897886
UNC30624981,X,7.931131
UNC30625209,X,7.961907
UNC30625391,X,7.981685
JAX00708849,X,8.035148
JAX00708851,X,8.04108
UNC30626136,X,8.060835
UNC30626502,X,8.106272
UNC30626663,X,8.129515
UNC30627311,X,8.327285
UNC30627439,X,8.414644
UNC30627962,X,8.608208
JAX00708925,X,8.743411
JAX00176890,X,8.770202
JAX00708930,X,8.77197
JAX00708931,X,8.781415
JAX00708932,X,8.782241
UNC30629137,X,8.817667
UNC30629488,X,8.885107
JAX00708946,X,8.950253
JAX00176908,X,9.024409
UNC30630586,X,9.04655
JAX00708967,X,9.099665
JAX00708968,X,9.103646
UNC30631685,X,9.127725
backupJAX00708995,X,9.281261
JAX00709012,X,9.450158
JAX00176944,X,9.502117
UNC30634815,X,9.617516
JAX00176957,X,9.704026
UNC30635548,X,9.706546
JAX00709038,X,9.714832
JAX00709041,X,9.724688
UNC_rs50627251,X,9.805675
JAX00709051,X,9.84016
JAX00176974,X,9.890666
JAX00709065,X,9.950108
UNC200004516,X,9.981285
JAX00709076,X,10.038682
UNC30638980,X,10.065621
backupUNC200004813,X,10.207305
JAX00709094,X,10.208575
JAX00176999,X,10.232127
JAX00709104,X,10.277641
UNC30641410,X,10.326298
JAX00709117,X,10.388377
JAX00709118,X,10.388644
UNC30642287,X,10.432597
UNC30642514,X,10.454444
UNC30642753,X,10.479335
UNC30642921,X,10.501517
UNC30643162,X,10.522551
backupUNC200249354,X,10.578039
UNC30643849,X,10.610657
UNC30643986,X,10.632842
UNC30644141,X,10.655697
UNC30644302,X,10.682402
UNC30644441,X,10.700165
UNC30644689,X,10.723529
UNC30644851,X,10.744267
JAX00709157,X,10.74977
UNC30645093,X,10.765646
JAX00177039,X,10.76803
JAX00709164,X,10.799662
JAX00177043,X,10.814035
UNC30645640,X,10.828598
UNC30645817,X,10.857285
UNC30645925,X,10.869643
UNC30646217,X,10.894998
JAX00177052,X,10.927737
UNC30646629,X,10.948911
UNC30646731,X,10.964713
UNC30647009,X,10.989776
UNC30647206,X,11.010354
UNC30647370,X,11.033871
JAX00709191,X,11.051287
JAX00177059,X,11.054029
JAX00177060,X,11.054642
UNC30647623,X,11.05912
JAX00709197,X,11.063304
UNC30647814,X,11.077995
UNC30648078,X,11.10095
JAX00709206,X,11.110709
backupUNC200310334,X,11.111041
UNC30648264,X,11.118036
UNC30648327,X,11.123746
UNC30648386,X,11.129235
UNC30648539,X,11.141302
UNC30648622,X,11.150314
UNC30648744,X,11.163957
UNC30648821,X,11.200499
UNC30649018,X,11.222263
UNC30649084,X,11.23334
UNC30649204,X,11.245009
JAX00177076,X,11.247538
UNC30649305,X,11.256014
UNC30649376,X,11.267364
UNC30649432,X,11.274374
UNC30649553,X,11.290306
UNC30649629,X,11.301401
UNC30649708,X,11.312713
UNC30649793,X,11.324409
UNC30649860,X,11.334177
UNC30649957,X,11.34653
UNC30650037,X,11.36107
JAX00709239,X,11.386523
UNC30650530,X,11.447314
UNC30650934,X,11.498943
UNC30651348,X,11.549421
JAX00709268,X,11.592135
backupJAX00709270,X,11.595779
JAX00709277,X,11.63369
UNC30652398,X,11.653395
JAX00177107,X,11.688033
UNC30652732,X,11.696234
UNC30653309,X,11.748063
UNC30653765,X,11.800424
UNC30654286,X,11.846181
UNC30655107,X,11.95123
JAX00177128,X,11.969292
UNC30655403,X,11.993952
JAX00177134,X,12.050055
UNC30655795,X,12.054584
UNC30656656,X,12.15291
JAX00709340,X,12.164959
backupUNC200316908,X,12.192628
UNC30657174,X,12.207089
UNC30657714,X,12.259279
UNC30658252,X,12.309718
UNC30658767,X,12.356657
UNC30659322,X,12.409269
UNC30659801,X,12.446045
JAX00177165,X,12.449604
JAX00709378,X,12.459811
UNC30660255,X,12.492
JAX00177172,X,12.537794
UNC30660941,X,12.561738
UNC200319662,X,12.589964
JAX00709408,X,12.684921
JAX00709411,X,12.688403
UNC30662406,X,12.714084
JAX00709415,X,12.718073
UNC30663028,X,12.765738
UNC30663505,X,12.815338
UNC30663933,X,12.862801
