# Physical map for GigaMUGA chromosome X (build GRCm39)
# nrow 3984
# ncol 3
marker,chr,pos
JAX00708539,X,5.366886
JAX00708539r,X,5.366886
UNCHS048190,X,5.406515
JAX00708544,X,5.408608
JAX00176643,X,5.411801
UNC200000454,X,5.415302
JAX00176646,X,5.525655
JAX00708563,X,5.692316
JAX00708563r,X,5.692316
JAX00708567,X,5.725351
JAX00708578,X,5.834159
JAX00176671,X,5.875315
JAX00708583,X,5.891241
UNCHS048192,X,5.926758
JAX00176676,X,5.966274
JAX00708591,X,5.978863
JAX00176680,X,5.996696
JAX00176681,X,5.996882
UNC30610687,X,6.169676
UNC30610936,X,6.207561
UNCHS048193,X,6.22504
JAX00708618,X,6.226671
JAX00176698,X,6.235342
UNC30611222,X,6.248396
JAX00708628,X,6.268958
JAX00708630,X,6.281475
JAX00708630r,X,6.281475
UNC30611560,X,6.284585
UNCHS048195,X,6.293188
UNCHS048196,X,6.297191
UNC30611835,X,6.319562
JAX00176704,X,6.327014
UNC30612242,X,6.36574
UNCHS048197,X,6.436258
UNC30612732,X,6.438287
UNCHS048198,X,6.44207
UNCHS048199,X,6.446954
UNCHS048201,X,6.448772
UNCHS048200,X,6.449957
UNCHS048202,X,6.451529
JAX00176716,X,6.477364
UNCHS048204,X,6.485302
JAX00708647,X,6.493086
UNCHS048205,X,6.498946
UNCHS048206,X,6.501797
UNC30613121,X,6.51231
JAX00708653,X,6.530511
JAX00708655,X,6.530841
JAX00708656,X,6.530867
JAX00708668,X,6.588038
UNC30613748,X,6.597173
UNC30613972,X,6.630538
UNC30614256,X,6.664377
JAX00708680,X,6.673494
UNC30614439,X,6.693556
UNC30614443,X,6.700183
JAX00708681,X,6.713649
UNCHS048210,X,6.721281
UNC30614651,X,6.730828
UNC30615033,X,6.775395
JAX00708697,X,6.79325
UNCHS048211,X,6.795608
UNCHS048212,X,6.799085
UNC30615269,X,6.799207
UNCHS048213,X,6.873939
UNCHS048214,X,6.878212
UNC30615721,X,6.88603
JAX00176747,X,6.887865
JAX00708711,X,6.951186
