# Genetic map for MegaMUGA chromosome Y
# nrow 30
# ncol 3
marker,chr,pos
JAX00725015,Y,NA
JAX00725023,Y,NA
JAX00725024,Y,NA
JAX00725068,Y,NA
JAX00725028,Y,NA
JAX00725029,Y,NA
repJAX00725029,Y,NA
JAX00725030,Y,NA
JAX00725069,Y,NA
JAX00725070,Y,NA
JAX00725031,Y,NA
JAX00725032,Y,NA
repJAX00725071,Y,NA
JAX00725071,Y,NA
JAX00725034,Y,NA
repJAX00725074,Y,NA
JAX00725036,Y,NA
JAX00725041,Y,NA
JAX00725042,Y,NA
JAX00725078,Y,NA
repJAX00725043,Y,NA
JAX00725043,Y,NA
JAX00725048,Y,NA
JAX00725049,Y,NA
JAX00725083,Y,NA
repJAX00725083,Y,NA
JAX00725085,Y,NA
JAX00725087,Y,NA
repJAX00725057,Y,NA
JAX00725057,Y,NA
