# Physical map for GigaMUGA chromosome 19 (build GRCm39)
# nrow 3110
# ncol 3
marker,chr,pos
UNCHS047038,19,3.29076
JAX00468911,19,3.313752
UNCHS047039,19,3.386553
UNCHS047040,19,3.389062
JAX00468938,19,3.421529
UNCHS047041,19,3.449965
UNCHS047043,19,3.452767
UNCHS047042,19,3.453302
UNCHS047044,19,3.458577
B6_rs30503185,19,3.540564
JAX00468967,19,3.576833
UNCHS047045,19,3.66313
UNCHS047046,19,3.665896
JAX00468987,19,3.678802
UNC29827168,19,3.687651
UNCHS047047,19,3.688737
UNCHS047049,19,3.689183
UNCHS047048,19,3.691344
UNC29827681,19,3.75803
UNCHS047051,19,3.794746
UNC29828334,19,3.849815
UNCHS047053,19,3.908113
UNC29828976,19,3.940631
UNC29829291,19,3.998421
JAX00469050,19,4.019586
JAX00469067,19,4.069497
JAX00469069,19,4.075502
JAX00469078,19,4.099915
JAX00469082,19,4.1079
UNC29830560,19,4.148846
UNC29831148,19,4.216114
UNCHS047055,19,4.247707
UNCHS047057,19,4.249558
UNCHS047056,19,4.251147
UNCHS047058,19,4.256597
JAX00469121,19,4.28525
UNC29831860,19,4.312726
UNCHS047059,19,4.312726
UNCHS047060,19,4.316875
UNCHS047062,19,4.319426
UNCHS047063,19,4.35151
UNCHS047064,19,4.354175
UNCHS047065,19,4.358759
UNC29832192,19,4.362758
UNCHS047068,19,4.376438
JAX00469154,19,4.397432
UNCHS047069,19,4.440295
UNCHS047070,19,4.443993
UNC29832780,19,4.46618
JAX00469178,19,4.534475
JAX00469178r,19,4.534475
UNCHS047072,19,4.610518
UNCHS047073,19,4.657496
UNCHS047074,19,4.660089
UNC29834997,19,4.678086
UNC29836189,19,4.782852
UNCHS047076,19,4.870308
JAX00469274,19,4.884131
UNC29837897,19,4.957685
UNCHS047077,19,5.03934
UNCHS047078,19,5.048775
UNCHS047079,19,5.139966
UNCHS047080,19,5.143208
UNC29839866,19,5.149699
UNCHS047081,19,5.156583
UNCHS047082,19,5.162841
UNCHS047083,19,5.248643
UNCHS047084,19,5.252156
UNC29840729,19,5.256308
UNC29841215,19,5.318777
UNC29841737,19,5.390542
JAX00469402,19,5.424871
UNC29842600,19,5.483401
UNCHS047085,19,5.493861
UNCHS047086,19,5.496386
UNC29843285,19,5.55386
UNCHS047087,19,5.57173
UNCHS047088,19,5.575033
UNC29844952,19,5.700911
UNCHS047089,19,5.731388
UNCHS047090,19,5.736608
UNC29845290,19,5.739458
JAX00469473,19,5.752523
UNCHS047091,19,5.78458
UNCHS047092,19,5.78744
UNCHS047093,19,5.801184
JAX00469482,19,5.808217
UNC29845938,19,5.808314
JAX00469498,19,5.881678
UNC29847184,19,5.922044
UNC29847961,19,6.000398
UNC29849578,19,6.133659
JAX00469547,19,6.154653
JAX00469562,19,6.269978
UNC29851182,19,6.273356
UNCHS047095,19,6.273485
JAX00469573,19,6.281574
JAX00469605,19,6.354482
UNC29851894,19,6.360203
UNCHS047097,19,6.423741
UNCHS047098,19,6.428713
UNC29852402,19,6.436076
JAX00469629,19,6.493993
JAX00469629r,19,6.493993
UNC29853003,19,6.508904
UNCHS047099,19,6.51698
UNCHS047100,19,6.520249
UNC29853576,19,6.582885
UNCHS047101,19,6.584462
UNCHS047102,19,6.587079
UNCHS047103,19,6.58925
UNCHS047104,19,6.593456
JAX00469668,19,6.621084
UNC29854243,19,6.630843
UNCHS047105,19,6.724937
JAX00469709,19,6.726017
JAX00469709r,19,6.726017
UNC29855562,19,6.728407
UNCHS047106,19,6.728468
UNC29855954,19,6.805724
UNC29856661,19,6.885789
UNC29857130,19,6.960953
JAX00086581,19,6.969629
UNCHS047107,19,6.972459
UNC29857813,19,7.025804
UNCHS047109,19,7.058807
UNCHS047110,19,7.06186
UNC29858472,19,7.103163
UNC29859195,19,7.176721
UNCHS047111,19,7.203787
UNCHS047112,19,7.206628
UNCHS047113,19,7.219905
backupJAX00469786,19,7.24077
JAX00469790,19,7.263047
JAX00469791,19,7.266636
UNCHS047115,19,7.266636
UNCHS047116,19,7.269405
UNCHS047117,19,7.301186
